ID,Work Item Type,Title,Description,Acceptance Criteria,Assigned To,State,Priority,Sprint,Epic,Story Points,Tags
HU-032,User Story,Reportar comportamiento de usuario,"Como usuario que experimenta mal comportamiento
Quiero reportar conducta
Para contribuir a entorno seguro","- Desde perfil o transacción: opción 'Reportar usuario'
- Motivos: No devolvió, Hostigamiento, Lenguaje ofensivo, Suplantación, Otro
- Vincula a transacción específica si aplica
- Registra en sistema",Jesús de Andrés de las Heras,New,2,Sprint 4,Moderación,3,SHOULD
HU-033,User Story,Navegación completa por teclado,"Como usuario que no puede usar ratón
Quiero navegar solo con teclado
Para acceder a todas las funcionalidades","- Todos los elementos accesibles con Tab
- Orden lógico de tabulación
- Indicador visual de foco claro
- Atajos: Alt+B (buscar), Alt+P (publicar), Esc (cerrar)
- Enter/Espacio activan elementos",Nicolás Sanchidrián Infante,New,1,Sprint 4,Accesibilidad,8,MUST-BE
HU-034,User Story,Textos alternativos para imágenes,"Como usuario con lector de pantalla
Quiero que imágenes tengan textos descriptivos
Para comprender contenido visual","- Todas las imágenes tienen alt descriptivo
- Auto-genera alt basándose en título/categoría
- Imágenes decorativas: alt=''
- Iconos con aria-label",Nicolás Sanchidrián Infante,New,1,Sprint 4,Accesibilidad,5,MUST-BE
HU-035,User Story,Contraste de colores adecuado,"Como usuario con baja visión
Quiero contraste suficiente en textos
Para leer sin dificultad","- Ratio mínimo 4.5:1 para texto normal
- Ratio mínimo 3:1 para texto grande
- Estados (error, éxito) no solo con color
- Botones con contraste suficiente",Nicolás Sanchidrián Infante,New,1,Sprint 4,Accesibilidad,5,MUST-BE
HU-036,User Story,Etiquetas y roles ARIA apropiados,"Como usuario de tecnologías asistivas
Quiero elementos con roles semánticos correctos
Para entender estructura y función","- Elementos HTML semánticos (<button>, <nav>, <main>)
- Roles ARIA en divs interactivos
- Formularios con <label> asociados
- Landmarks para navegación
- Mensajes dinámicos con aria-live",Nicolás Sanchidrián Infante,New,2,Sprint 4,Accesibilidad,5,SHOULD
HU-037,User Story,Tamaños de fuente y zoom responsive,"Como usuario con baja visión
Quiero hacer zoom hasta 200%
Para leer cómodamente","- Soporta zoom hasta 200% sin scroll horizontal
- Unidades relativas (rem, em)
- Tamaño base mínimo 16px
- Controles táctiles mín 44x44px",Nicolás Sanchidrián Infante,New,2,Sprint 4,Accesibilidad,5,SHOULD
T-001,Task,Inicializar proyecto Spring Boot con dependencias base,Configurar Spring Boot con Maven incluyendo: Spring Web; Spring Data JPA; H2 Database; Spring Security; Lombok; Validation,Proyecto compila y arranca correctamente en puerto 8080,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-002,Task,Configurar perfiles de entorno (dev/test),Crear application-dev.properties y application-test.properties con configuraciones específicas,Perfiles funcionan correctamente al activarlos,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-003,Task,Crear endpoint de health check,Implementar /api/health que retorne status 200 y timestamp,Endpoint responde correctamente,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-004,Task,Definir estructura de paquetes backend,Crear paquetes: auth; config; product; common (exceptions; dto; util),Estructura clara y consistente,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-005,Task,Crear entidad User con JPA,Atributos: id; email; password (hash); nombre; telefono; fotoPerfil; biografia; fechaRegistro; verificado,Entidad mapea correctamente a BD,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-006,Task,Implementar UserRepository con JPA,Métodos: findByEmail; existsByEmail; findByEmailAndVerificadoTrue,Repository funciona con BD H2,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-007,Task,Crear AuthService con lógica de registro,Métodos: registro; validarCorreoUFV; hashPassword; enviarEmailVerificacion,Registro funcional con validaciones,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-008,Task,Implementar AuthController endpoints registro y login,POST /api/auth/register; POST /api/auth/login; GET /api/auth/verify,Endpoints responden correctamente,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-009,Task,Configurar Spring Security con JWT,Generar y validar tokens JWT; Configurar filtros de seguridad,Autenticación con JWT funcional,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-010,Task,Implementar servicio de envío de emails,Usar JavaMailSender para emails de verificación y recuperación,Emails se envían correctamente,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-011,Task,Tests unitarios para UserService (TDD),Cubrir: registro válido/inválido; validación correo; hash password,Cobertura >80% en UserService,Jesús de Andrés de las Heras,To Do,1,Sprint 1,Autenticación,,TEST
T-012,Task,Tests de integración para AuthController (MockMvc),Cubrir: registro exitoso; login; errores de validación,Tests pasan correctamente,Jesús de Andrés de las Heras,To Do,1,Sprint 1,Autenticación,,TEST
T-013,Task,Inicializar proyecto Astro,npm create astro@latest; Configurar TypeScript; Instalar dependencias,Proyecto Astro arranca en desarrollo,Alejandro de Pazos Tena,To Do,1,Sprint 1,Frontend,,TECHNICAL
T-014,Task,Crear layout principal (Layout.astro),Header con logo y navegación; Main content area; Footer,Layout reutilizable funcional,Alejandro de Pazos Tena,To Do,1,Sprint 1,Frontend,,TECHNICAL
T-015,Task,Implementar página Home (index.astro),Hero section; Explicación de UFV Share; CTA registrarse,Página home atractiva y funcional,Alejandro de Pazos Tena,To Do,1,Sprint 1,Frontend,,TECHNICAL
T-016,Task,Crear formulario de registro (auth.astro),Campos: correo; contraseña; confirmar contraseña; nombre; Validación frontend,Formulario valida antes de enviar,Alejandro de Pazos Tena,To Do,1,Sprint 1,Frontend,,TECHNICAL
T-017,Task,Implementar página de login,Campos: correo; contraseña; Links: Olvidé contraseña; Registrarse,Login funcional con llamada a API,Alejandro de Pazos Tena,To Do,1,Sprint 1,Frontend,,TECHNICAL
T-018,Task,Configurar estilos globales CSS,Paleta colores UFV; Tipografía; Estilos botones; Variables CSS,Branding consistente en toda la app,Alejandro de Pazos Tena,To Do,1,Sprint 1,Frontend,,TECHNICAL
T-019,Task,Crear servicio API client (authService.ts),Métodos: register; login; verifyEmail; recoverPassword,Cliente API reutilizable,Alejandro de Pazos Tena,To Do,1,Sprint 1,Frontend,,TECHNICAL
T-020,Task,Implementar gestión de tokens en frontend,Guardar JWT en localStorage; Interceptor para añadir token; Logout limpia token,Autenticación persistente funcional,Alejandro de Pazos Tena,To Do,1,Sprint 1,Frontend,,TECHNICAL
T-021,Task,Configurar CORS en backend,Permitir origen del frontend Astro; Métodos: GET; POST; PUT; DELETE; Headers necesarios,Sin errores CORS en desarrollo,Gonzalo de Lorenzo Vaquero,To Do,1,Sprint 1,Autenticación,,TECHNICAL
T-022,Task,Validación manual de navegación por teclado,Verificar Tab recorre todos los elementos; Focus visible; Enter activa botones,Navegación teclado funcional,Nicolás Sanchidrián Infante,To Do,1,Sprint 1,Accesibilidad,,TEST
T-023,Task,Validación de contraste con herramienta,Usar WebAIM Contrast Checker en todos los textos y botones,Todos pasan ratio 4.5:1,Nicolás Sanchidrián Infante,To Do,1,Sprint 1,Accesibilidad,,TEST
T-024,Task,Crear checklist de accesibilidad WCAG,Documento con criterios AA a cumplir por sprint,Checklist completa y compartida,Nicolás Sanchidrián Infante,To Do,1,Sprint 1,Accesibilidad,,DOCUMENTATION
T-025,Task,Documentar arquitectura del sistema,Diagrama de capas; Tecnologías usadas; Estructura de paquetes,Documento en /docs/arquitectura.md,Jesús de Andrés de las Heras,To Do,1,Sprint 1,Documentación,,DOCUMENTATION
T-026,Task,Documentar estrategia de testing,Enfoque TDD; Herramientas (JUnit; MockMvc); Cobertura objetivo,Documento en /docs/testing.md,Jesús de Andrés de las Heras,To Do,1,Sprint 1,Documentación,,DOCUMENTATION
T-027,Task,Sprint Planning 1,"Estimar historias; Asignar tareas; Definir DoD del sprint",Planning completado y documentado,Mario Hernández Santos,To Do,1,Sprint 1,Gestión,,SCRUM
T-028,Task,Daily Standups Sprint 1,Reuniones diarias 15min: qué hice; qué haré; impedimentos,Seguimiento diario realizado,Mario Hernández Santos,To Do,1,Sprint 1,Gestión,,SCRUM
T-029,Task,Sprint Review 1,Demo de funcionalidades completadas; Feedback de stakeholders,Review completada,Mario Hernández Santos,To Do,1,Sprint 1,Gestión,,SCRUM
T-030,Task,Sprint Retrospective 1,Analizar: qué fue bien; qué mejorar; acciones para Sprint 2,Retrospectiva documentada,Mario Hernández Santos,To Do,1,Sprint 1,Gestión,,SCRUM
T-031,Task,Actualizar backlog en Azure DevOps,Refinar historias Sprint 2; Actualizar estados; Burndown chart,Backlog actualizado,Mario Hernández Santos,To Do,1,Sprint 1,Gestión,,SCRUM
